['0.00', '0.00', '0.19', '0.00', '0.00', '0.42']
['0.00', '0.00', '0.19', '0.00', '0.00', '0.42']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.42']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.41']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.41']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.41']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.41']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.40']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.40']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.40']
['0.00', '0.00', '0.18', '0.00', '0.00', '0.40']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.39']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.39']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.39']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.39']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.00']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.00']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.00']
['0.00', '0.00', '1.18', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.19', '0.00', '0.00', '0.00']
['0.00', '0.00', '1.19', '0.00', '0.00', '0.00']
['0.00', '0.00', '1.19', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.19', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
['0.00', '0.00', '0.00', '0.00', '0.00', '0.00']
